지점명,위도,경도,주소,우편번호
노브랜드 SF수원점,37.2874453391147,126.991574559571,경기 수원시 장안구 수성로 175 (정자동),16318
노브랜드 가평잣고을시장점,37.8297171475946,127.515207941912,"경기 가평군 가평읍 장터2길 12 (읍내리, 가평잣고을시장 창업경제타운)",12419
노브랜드 강남삼성점,37.516292413898775,127.0511095195337,"서울 강남구 삼성로 633 (삼성동, 삼광빌딩)",06091
노브랜드 강남세곡점,37.466802,127.096113,서울 강남구 헌릉로569길 29 (세곡동),06376
노브랜드 강남역삼점,37.49214526231267,127.03095164890226,"서울 강남구 강남대로 324 (역삼동, 역삼디오슈페리움)",06252
노브랜드 강남터미널점,37.5053447,127.0065191,"서울 서초구 신반포로 194 (반포동, 강남고속버스터미널)",06545
노브랜드 강남한티역점,37.498036,127.052355,서울 강남구 선릉로 318 (대치동),06205
노브랜드 강릉교동점,37.77172492390921,128.88245293071847,강원 강릉시 경포로 72-3,25493
노브랜드 강서마곡점,37.56267051102515,126.82360462864068,"서울 강서구 마곡서로 101 (마곡동, 동익드미라벨복합빌딩)",07798
노브랜드 강서발산역점,37.5581136160559,126.839771765415,서울 강서구 공항대로 290 (내발산동),07646
노브랜드 거제아주점,34.86755891229824,128.68540943015262,경남 거제시 아주2로 51 (아주동),53305
노브랜드 거제양정점,34.8914066872726,128.638810844241,경남 거제시 수양로 481 (양정동),53236
노브랜드 경동시장점,37.579203,127.039162,"서울 동대문구 고산자로36길 3 (제기동, 경동시장)",02571
노브랜드 경산백천점,35.80348435739393,128.74199096966646,경북 경산시 경청로222길 24 (백천동),38649
노브랜드 경산사동점,35.81207396020916,128.7553658362742,경북 경산시 백자로 72 (사동),38604
노브랜드 경산정평점,35.833723,128.727405,경북 경산시 대학로 44 (정평동),38657
노브랜드 경주용강점,35.8810575747205,129.230264872253,경북 경주시 산업로 4506,38090
노브랜드 고양SF점,37.646807,126.894946,"경기 고양시 덕양구 고양대로 1955 (동산동, 스타필드 고양)",10595
노브랜드 고양도내점,37.6218478,126.8597822,경기 고양시 덕양구 도래울1로 61 (도내동),10551
노브랜드 고양마두점,37.65857276214623,126.78712612289735,"경기 고양시 일산동구 일산로 255 (마두동, 세경빌딩)",10416
노브랜드 고양정발산점,37.6699306791504,126.773621173945,"경기 고양시 일산동구 대산로 23 (정발산동, 경환빌딩)",10362
노브랜드 고양풍동점,37.662632,126.799680,경기 고양시 일산동구 고일로 134 (풍동),10308
노브랜드 고양행신점,37.6135631,126.8353826,"경기 고양시 덕양구 용현로 9 (행신동, 대경티앤에스빌딩)",10526
노브랜드 고양행신중앙점,37.62323668990159,126.83464874489505,"경기 고양시 덕양구 중앙로557번길 10 (행신동, 원빌딩)",10518
노브랜드 공주 신관동점,36.476905182455496,127.1400124799212,충남 공주시 한적2길 29,32576
노브랜드 광명소하점,37.455246,126.8814683,경기 광명시 한내일로 53 (소하동),14310
노브랜드 광명역점,37.42040045303506,126.88383090543114,경기 광명시 신기로17번길 4,14344
노브랜드 광주초월점,37.38383688298502,127.2903175165447,경기 광주시 초월읍 경충대로 1215 (대쌍령리),12735
노브랜드 광주태전점,37.386772047045554,127.23443843505946,경기 광주시 태전동로 25 (태전동),12787
노브랜드 구리갈매점,37.63478,127.116827,경기 구리시 경춘북로 252,11901
노브랜드 구리인창점,37.611280,127.139965,"경기 구리시 동구릉로136번길 33 (인창동, 삼성전자디지털센터)",11915
노브랜드 구미선산시장점,36.2401191,128.3004132,"경북 구미시 선산읍 단계동길 24 (완전리, 선산시장)",39127
노브랜드 구미송정점,36.1170177729937,128.348100193321,경북 구미시 송정대로 88 (송정동),39279
노브랜드 구미진평점,36.0933559773532,128.432074954735,경북 구미시 인동36길 14-1 (진평동),39411
노브랜드 구미확장점,36.15582176747705,128.43403080262857,경북 구미시 산동면 신당2로 9 (신당리),39164
